041009,仙台市,0
041017,仙台市青葉区,0
041025,仙台市宮城野区,0
041033,仙台市若林区,0
041041,仙台市太白区,0
041050,仙台市泉区,0
042021,石巻市,1
042030,塩竃市,0
042056,気仙沼市,0
042064,白石市,0
042072,名取市,0
042081,角田市,0
042099,多賀城市,0
042111,岩沼市,0
042129,登米市,0
042137,栗原市,0
042145,東松島市,0
042153,大崎市,0
043010,蔵王町,0
043028,七ヶ宿町,0
043214,大河原町,0
043222,村田町,0
043231,柴田町,0
043249,川崎町,0
043419,丸森町,0
043613,亘理町,0
043621,山元町,0
044016,松島町,0
044041,七ヶ浜町,0
044067,利府町,0
044211,大和町,0
044229,大郷町,0
044237,富谷町,0
044245,大衡村,0
044440,色麻町,0
044458,加美町,0
045012,涌谷町,0
045055,美里町,0
045811,女川町,0
046060,南三陸町,0
